Serial_Number,Location name,ESMI_ID,From date,To date,District,State,Category,Connection Type,Lat,Lon,Duplicates_ESMI_Scrapping,
1,5th phase JP Nagar,,7/7/2016,6/12/2017,Bengaluru Urban,Karnataka,State Capital,Domestic,12.90109183,77.58914966,,
2,80 feet road,,9/6/2015,10/2/2018,Dhule,Maharashtra,District Headquarters,Domestic,20.89519943,74.7759818,,
3,Adarsh Nagar ,,3/2/2016,1/22/2017,Saharsa,Bihar,District Headquarters,Domestic,25.88350653,86.6149189,,Offline
4,Adgaon,,5/4/2018,12/31/2018,Nashik,Maharashtra,Gram Panchayat,Domestic,20.03718415,73.85013615,,
5,Agarchitti,,11/23/2016,6/12/2017,Chamoli,Uttarakhand,Gram Panchayat,Domestic,30.01611644,79.3087354,,Offline
6,Agarwal Mohalla Jarwal Kasba,,1/26/2018,12/31/2018,Bahraich,Uttar Pradesh,Other Municipal Area,Domestic,27.5745663,81.60125142,,
7,Agri road Chidambaram,,4/28/2018,12/31/2018,Cuddalore,Tamil Nadu,Other Municipal Area,Domestic,11.39068363,79.72175538,,
8,Aishbagh,,11/3/2017,3/14/2018,Lucknow,Uttar Pradesh,State Capital,Domestic,26.84126749,80.90386321,,
9,Ajekar,,1/9/2015,5/15/2015,Udupi,Karnataka,Gram Panchayat,Domestic,13.32050918,74.99880704,,Offline
10,Akoli Jehangir ,,10/31/2014,3/8/2015,Akola,Maharashtra,Gram Panchayat,Domestic,21.15483668,77.11846612,,Offline
11,Akot ,,11/24/2014,1/7/2017,Akola,Maharashtra,Other Municipal Area,Domestic,21.09598742,77.05470386,,Offline
12,Alambagh,,11/24/2014,12/31/2018,Lucknow,Uttar Pradesh,State Capital,Domestic,26.80801799,80.89713709,,
13,Alandur,,10/29/2014,12/31/2018,Chennai,Tamil Nadu,State Capital,Domestic,13.0008823,80.19930343,,
14,Aliganj,,6/21/2016,12/31/2018,Lucknow,Uttar Pradesh,State Capital,Non Domestic,26.89770276,80.94634345,,
15,Alipur Road,,12/16/2014,5/30/2016,Kolkata,West Bengal,State Capital,Domestic,22.52821233,88.33302228,,Offline
16,Allipur,,12/16/2016,12/31/2018,Fatehpur,Uttar Pradesh,Gram Panchayat,Domestic,25.77271525,81.24369716,,
17,Amar Nagar,,12/15/2014,12/31/2018,Nagpur,Maharashtra,District Headquarters,Domestic,21.10087868,79.11072152,,
18,Ambathur Chennai,,4/11/2018,12/20/2018,Thiruvallur,Tamil Nadu,State Capital,Domestic,13.11873319,80.14558912,,
19,Ameerpeth,171,1/6/2015,12/31/2018,Hyderabad,Telangana,State Capital,Domestic,17.43923119,78.44454787,Y,
20,Amoni,,3/31/2017,4/29/2018,Bhopal,Madhya Pradesh,Gram Panchayat,Non Domestic,23.36816561,77.54215302,,
21,Anand Nagar Sitapur,,2/26/2018,12/31/2018,Sitapur,Uttar Pradesh,District Headquarters,Domestic,27.56551131,80.69731311,,
22,Anegundi,,3/4/2017,8/26/2017,Koppal,Karnataka,Gram Panchayat,Non Domestic,15.3526957,76.49206813,,
23,Angol,,10/13/2015,12/31/2018,Belgaum,Karnataka,District Headquarters,Domestic,15.82390411,74.50536576,,
