station_id,Location name,ESMI_ID,District,State,Lat,Lon,era_min_time,era_max_time,era_lat,era_lon
1,5th phase JP Nagar,,Bengaluru Urban,Karnataka,12.90109183,77.58914966,2016-06-01,2017-07-01,12.9,77.6
2,80 feet road,,Dhule,Maharashtra,20.89519943,74.7759818,2015-08-01,2018-11-01,20.9,74.8
3,Adarsh Nagar ,,Saharsa,Bihar,25.88350653,86.6149189,2016-02-01,2017-02-01,25.9,86.6
4,Adgaon,,Nashik,Maharashtra,20.03718415,73.85013615,2018-04-01,2019-01-01,20.0,73.9
5,Agarchitti,,Chamoli,Uttarakhand,30.01611644,79.3087354,2016-10-01,2017-07-01,30.0,79.3
6,Agarwal Mohalla Jarwal Kasba,,Bahraich,Uttar Pradesh,27.5745663,81.60125142,2017-12-01,2019-01-01,27.6,81.6
7,Agri road Chidambaram,,Cuddalore,Tamil Nadu,11.39068363,79.72175538,2018-03-01,2019-01-01,11.4,79.7
8,Aishbagh,,Lucknow,Uttar Pradesh,26.84126749,80.90386321,2017-10-01,2018-11-01,26.8,80.9
9,Ajekar,,Udupi,Karnataka,13.32050918,74.99880704,2014-12-01,2015-06-01,13.3,75.0
10,Akoli Jehangir ,,Akola,Maharashtra,21.15483668,77.11846612,2014-09-01,2015-04-01,21.2,77.1
11,Akot ,,Akola,Maharashtra,21.09598742,77.05470386,2014-10-01,2017-02-01,21.1,77.1
12,Alambagh,,Lucknow,Uttar Pradesh,26.80801799,80.89713709,2014-10-01,2019-01-01,26.8,80.9
13,Alandur,,Chennai,Tamil Nadu,13.0008823,80.19930343,2014-09-01,2019-01-01,13.0,80.2
14,Aliganj,,Lucknow,Uttar Pradesh,26.89770276,80.94634345,2016-05-01,2019-01-01,26.9,80.9
15,Alipur Road,,Kolkata,West Bengal,22.52821233,88.33302228,2014-11-01,2016-06-01,22.5,88.3
16,Allipur,,Fatehpur,Uttar Pradesh,25.77271525,81.24369716,2016-11-01,2019-01-01,25.8,81.2
17,Amar Nagar,,Nagpur,Maharashtra,21.10087868,79.11072152,2014-11-01,2019-01-01,21.1,79.1
18,Ambathur Chennai,,Thiruvallur,Tamil Nadu,13.11873319,80.14558912,2018-03-01,2019-01-01,13.1,80.1
20,Amoni,,Bhopal,Madhya Pradesh,23.36816561,77.54215302,2017-02-01,2018-11-01,23.4,77.5
21,Anand Nagar Sitapur,,Sitapur,Uttar Pradesh,27.56551131,80.69731311,2018-01-01,2019-01-01,27.6,80.7
22,Anegundi,,Koppal,Karnataka,15.3526957,76.49206813,2017-02-01,2017-09-01,15.4,76.5
23,Angol,,Belgaum,Karnataka,15.82390411,74.50536576,2015-09-01,2019-01-01,15.8,74.5
24,Anjad,,Barwani,Madhya Pradesh,22.0426494,75.05567134,2015-08-01,2017-11-01,22.0,75.1
25,Arera Colony ,,Bhopal,Madhya Pradesh,23.211293,77.43422528,2015-07-01,2019-01-01,23.2,77.4
26,Arjun Nagar,,Ghaziabad,Uttar Pradesh,28.6589157,77.4320992,2016-04-01,2019-01-01,28.7,77.4
27,Arvind Marg,,Dehradun,Uttarakhand,30.33452201,78.05902906,2016-10-01,2019-01-01,30.3,78.1
28,ASEB Campus,,Guwahati,Assam,26.15030488,91.76251583,2016-11-01,2018-04-01,26.2,91.8
29,Ashiana,,Lucknow,Uttar Pradesh,26.78748245,80.91498766,2017-10-01,2018-12-01,26.8,80.9
30,Ashok Nagar ,,Nashik,Maharashtra,19.98824727,73.71750658,2015-09-01,2019-01-01,20.0,73.7
31,Ashoka Garden Bhopal,,Bhopal,Madhya Pradesh,23.25515676,77.43005477,2017-02-01,2019-01-01,23.3,77.4
32,Aundh,,Pune,Maharashtra,18.55773612,73.80588097,2014-09-01,2019-01-01,18.6,73.8
33,Avadi Chennai,,Thiruvallur,Tamil Nadu,13.11236984,80.0893033,2017-12-01,2019-01-01,13.1,80.1
34,Awali,,Barwani,Madhya Pradesh,22.07918027,75.02266134,2015-08-01,2016-06-01,22.1,75.0
35,Awas Vikas colony Barabanki,,Barabanki,Uttar Pradesh,26.91753358,81.17712705,2017-12-01,2019-01-01,26.9,81.2
36,Badgujar Colony ,,Dhule,Maharashtra,20.9325046,74.7740825,2015-08-01,2019-01-01,20.9,74.8
37,Bag Kala Lan Saharanpur ,,Saharanpur,Uttar Pradesh,29.96567162,77.52377267,2016-12-01,2017-03-01,30.0,77.5
38,Bagh Farahat Afza Bhopal,,Bhopal,Madhya Pradesh,23.25809485,77.42511524,2017-06-01,2018-03-01,23.3,77.4
39,Baghru ,,Jaipur,Rajasthan,26.81179206,75.55027528,2015-11-01,2019-01-01,26.8,75.6
40,Bagodar,,Giridih,Jharkhand,24.07784757,85.83067118,2017-04-01,2018-02-01,24.1,85.8
41,Bahadurpur,,Bahraich,Uttar Pradesh,27.53504413,81.62450394,2017-12-01,2019-01-01,27.5,81.6
